cell,BACH2,BATF,BIRC5,CCR7,CD160,CDK1,CTLA4,CX3CR1,DNMT3A,EGR2,ENTPD1,GNLY,GZMB,GZMK,HAVCR2,IFNG,IKZF2,IL7R,KLRD1,KLRG1,LAG3,LEF1,MKI67,NKG7,NR4A1,NR4A2,NR4A3,PCNA,PDCD1,PRDM1,PRF1,SELL,SLAMF6,STMN1,TBX21,TCF7,TIGIT,TOP2A,TOX
ref_00603,6.766,3.97,3.97,3.574,3.97,3.574,4.253,3.574,3.97,3.574,3.97,4.253,4.253,3.574,3.97,3.574,4.253,6.843,3.574,4.253,6.033,3.574,3.97,4.253,3.574,3.97,4.253,3.574,6.824,3.574,3.97,3.97,6.256,3.574,3.574,6.704,3.574,3.97,5.8
ref_00604,6.075,3.745,4.143,3.745,3.745,3.745,3.745,3.745,3.745,4.143,3.745,3.745,3.745,3.745,3.745,3.076,3.076,6.585,3.745,3.745,6.208,3.745,4.143,3.745,3.745,4.143,3.745,3.745,6.208,3.745,3.745,3.745,6.791,4.143,3.745,6.961,3.076,3.745,6.556
ref_00605,6.667,3.745,4.247,3.352,3.745,3.352,3.352,4.247,3.352,4.027,4.027,4.027,3.745,3.745,4.247,3.745,3.352,6.474,3.745,4.027,6.091,4.027,4.247,4.247,3.745,4.027,4.027,3.745,6.431,4.027,3.745,4.027,6.928,3.352,3.745,6.026,4.027,3.352,6.288
ref_00606,6.11,4.226,3.827,3.827,3.827,3.156,3.827,4.226,3.827,3.827,4.226,4.226,4.226,3.827,4.226,4.226,3.156,6.669,3.827,3.827,6.333,4.226,3.827,3.156,3.156,4.226,3.827,4.226,6.984,3.156,3.827,3.156,6.64,3.827,3.827,6.697,3.156,4.226,6.292
ref_00607,6.519,4.159,3.876,3.481,3.876,3.481,4.159,4.379,4.159,3.481,3.876,3.876,3.876,3.876,3.876,3.481,3.876,6.055,3.876,3.481,6.422,3.876,3.481,3.876,4.159,4.379,3.481,4.159,6.255,3.481,3.481,3.876,7.006,3.481,3.481,6.992,3.876,3.876,5.978
ref_00608,5.997,3.539,3.539,3.935,4.218,3.539,3.539,3.935,3.935,3.935,3.935,3.935,3.539,3.935,3.539,3.539,3.935,6.482,3.539,3.539,6.115,3.539,3.539,3.539,3.935,3.935,3.539,3.935,6.788,2.875,3.539,3.935,6.73,3.935,3.539,6.75,3.539,2.875,6.253
ref_00609,6.457,3.838,3.838,3.838,3.444,3.444,3.838,4.121,4.121,3.444,3.838,4.121,3.444,3.444,4.121,3.444,3.838,6.548,2.782,3.444,6.357,3.444,4.121,4.121,3.444,3.838,3.444,2.782,6.611,3.444,3.838,3.838,6.331,3.444,3.444,6.814,3.444,3.838,6.275
ref_00610,3.415,4.091,3.809,4.091,4.091,3.809,3.809,4.091,3.809,4.311,6.715,3.415,3.809,6.518,4.091,4.091,4.091,3.415,4.091,3.809,6.952,4.311,4.311,4.311,4.091,5.91,3.415,4.091,6.518,4.311,3.809,3.809,3.809,3.415,3.415,3.809,6.561,3.809,6.832
ref_00611,3.739,4.137,4.137,4.137,4.137,3.739,4.137,3.739,4.137,3.739,6.282,4.137,3.739,6.52,4.137,3.739,4.137,3.739,3.739,3.739,6.356,3.739,3.739,4.137,4.137,6.489,3.739,4.137,6.202,3.739,3.739,4.137,3.739,3.739,4.137,4.137,6.282,3.739,7.182
ref_00612,3.612,4.291,4.008,4.291,4.008,3.612,3.612,3.612,4.008,4.008,6.261,3.612,4.008,6.359,3.612,3.612,3.612,4.008,4.008,4.008,6.261,3.612,4.008,4.291,4.291,5.839,3.612,4.008,6.504,2.945,4.291,4.008,4.291,3.612,2.945,4.008,6.359,3.612,7.155
ref_00613,3.717,4.115,3.717,3.717,3.717,3.717,3.717,3.717,3.717,3.048,5.711,3.717,3.717,5.947,3.717,3.048,3.048,3.717,4.115,3.048,6.467,3.717,3.717,4.115,3.717,6.557,3.717,3.048,6.047,3.717,4.115,3.717,3.048,4.115,3.717,3.048,6.221,4.115,6.893
ref_00614,4.233,3.95,3.554,3.95,3.554,3.554,3.554,3.95,3.554,3.95,6.268,3.554,3.554,6.13,3.554,4.233,4.233,3.95,3.95,3.554,6.33,4.233,3.95,3.95,4.233,6.444,3.95,3.554,6.784,3.554,3.95,3.95,4.233,3.95,3.95,3.554,7.007,3.554,6.547
ref_00615,3.87,3.475,4.153,4.153,3.87,3.87,4.153,3.87,3.475,3.475,6.759,4.153,3.87,5.931,4.153,4.153,4.153,4.153,4.153,3.87,6.644,3.475,4.153,3.87,3.475,6.279,3.475,4.153,6.623,4.153,4.153,4.373,3.475,3.475,4.153,3.87,6.58,3.87,6.812
ref_00616,3.581,3.977,3.581,4.26,4.26,3.977,3.977,4.48,3.977,4.26,6.194,3.581,4.26,6.295,3.977,3.977,4.48,3.977,3.581,3.977,6.667,3.581,3.977,3.581,3.977,6.445,3.581,3.581,6.792,3.977,3.581,3.581,3.977,4.26,3.581,4.26,6.849,3.977,7.05
ref_00617,4.028,3.631,4.028,4.311,3.631,4.028,4.028,4.028,3.631,3.631,6.55,3.631,3.631,6.281,3.631,3.631,3.631,4.028,2.964,3.631,6.468,4.028,4.028,3.631,4.311,6.439,3.631,3.631,6.825,3.631,3.631,4.028,3.631,3.631,3.631,3.631,6.314,3.631,6.626
ref_00618,4.147,3.749,4.147,4.147,4.147,3.749,4.147,3.749,3.079,3.749,5.868,3.749,3.749,6.079,3.749,3.749,3.749,3.749,3.749,3.749,6.905,3.749,3.749,3.079,3.079,6.079,3.749,3.749,6.366,3.079,3.749,3.079,3.749,3.749,3.749,3.749,6.671,3.749,6.671
ref_00619,4.162,3.879,3.879,3.879,4.162,3.879,3.879,3.879,4.382,4.162,6.568,4.162,3.879,6.129,4.162,3.484,3.879,3.484,4.162,3.879,6.399,3.879,3.484,3.879,3.484,6.804,3.879,4.162,6.545,4.162,3.879,3.879,3.484,3.879,3.484,3.879,6.731,4.382,6.372
ref_00620,4.212,4.212,3.143,3.814,3.814,3.143,3.143,4.212,3.814,3.143,5.81,3.143,3.814,6.097,3.814,3.143,3.814,3.814,4.212,3.814,6.433,3.814,3.814,3.814,3.143,5.935,3.143,3.814,6.656,3.814,3.143,4.212,4.212,3.814,3.143,3.814,6.597,3.814,6.738
ref_00621,4.065,3.668,4.065,4.065,4.065,4.065,4.348,3.668,4.065,3.668,6.17,3.668,3.668,6.561,4.065,4.065,4.065,4.065,3.668,4.065,6.283,3.668,3.668,3.668,3.668,6.477,3.668,4.065,6.416,3.668,4.065,4.065,4.065,3.668,4.065,4.065,6.734,3.668,6.993
ref_00622,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.037,5.699,3.706,3.037,6.209,3.706,3.706,3.706,3.706,4.103,3.037,6.035,4.103,3.706,3.037,3.037,6.081,3.706,3.706,6.391,3.706,4.103,4.103,3.037,3.706,3.706,4.103,6.703,3.706,6.486
ref_00623,3.716,3.716,3.716,4.113,4.113,3.716,3.716,4.113,3.046,3.716,6.091,3.716,4.113,5.773,4.113,4.113,4.113,3.716,4.113,3.716,5.945,4.113,4.113,3.716,4.113,6.332,4.113,3.716,7.024,3.716,3.716,4.113,3.716,4.113,4.113,3.716,6.663,4.113,6.61
ref_00624,4.213,3.93,3.93,4.213,3.534,3.534,4.213,3.534,4.213,3.534,6.551,3.534,3.93,6.181,3.93,3.93,3.93,3.534,3.93,3.534,6.663,3.534,3.93,3.534,3.93,5.859,3.534,3.534,6.873,3.93,3.93,3.93,3.534,3.534,3.534,3.93,6.527,4.213,6.856
ref_00625,3.504,3.9,3.504,3.9,3.504,3.9,3.504,3.504,4.182,3.9,6.694,3.504,3.504,6.543,4.402,3.504,3.504,3.504,3.9,4.182,6.496,3.9,3.504,4.182,3.504,6.714,3.9,4.182,6.859,3.9,4.182,3.504,4.182,3.504,4.182,3.9,6.338,3.9,6.366
ref_00626,3.959,3.959,3.959,3.959,3.285,4.178,4.178,3.285,4.178,3.285,6.447,3.285,3.959,6.167,3.959,4.178,3.959,3.959,3.678,3.678,6.598,3.285,3.678,3.678,3.285,6.293,4.178,4.178,6.898,3.959,3.285,3.285,4.178,3.959,3.678,3.678,6.666,4.178,6.682
ref_00627,3.052,3.721,3.721,4.119,4.119,4.119,4.119,3.721,4.119,4.119,6.502,3.721,4.119,6.097,4.119,3.052,4.119,3.721,3.052,3.721,6.051,3.721,3.721,3.721,3.052,6.502,3.721,4.119,6.141,3.721,3.721,3.721,3.721,4.119,3.721,3.721,6.833,3.721,6.532
ref_00628,4.157,3.875,3.875,3.48,3.875,3.875,3.48,4.157,4.157,4.157,5.893,4.377,3.48,6.782,3.875,3.48,4.157,3.875,3.875,3.48,6.817,3.48,3.875,3.48,3.48,6.283,3.875,3.48,7.087,4.157,3.875,3.875,4.157,4.157,3.875,4.157,6.254,3.875,6.394
ref_00629,3.584,3.584,3.584,3.98,3.584,3.98,3.98,3.584,3.98,3.584,6.33,2.918,3.584,6.001,3.584,3.98,3.98,3.98,3.98,3.584,6.361,3.584,3.98,3.584,3.98,6.475,4.263,3.98,6.735,2.918,3.98,3.584,3.98,3.584,3.584,3.98,6.528,3.584,6.671
ref_00630,3.605,4.001,3.605,4.001,4.001,3.605,3.605,2.939,4.001,3.605,6.144,4.001,4.001,6.253,3.605,4.284,4.001,4.001,4.001,4.284,6.253,3.605,3.605,4.001,4.001,6.32,4.001,3.605,6.928,4.001,4.001,4.001,4.001,3.605,4.001,3.605,6.647,4.001,6.623
ref_00631,3.922,4.321,3.249,3.922,3.249,3.922,3.249,3.922,3.249,3.922,6.155,3.922,3.249,6.155,4.321,3.922,3.249,3.249,3.249,3.249,6.611,3.249,3.922,3.922,3.249,5.777,3.922,3.249,6.644,3.249,3.922,3.249,3.249,3.249,3.249,3.922,6.429,3.922,6.346
ref_00632,4.065,4.065,3.668,3.668,3.0,3.668,3.668,3.668,4.065,3.668,6.416,4.065,4.065,6.318,3.668,3.668,3.668,4.065,3.668,3.668,6.975,3.668,3.668,3.668,3.668,6.352,3.668,4.065,6.862,3.668,4.065,4.065,4.065,3.668,4.065,3.668,6.639,3.668,6.385
ref_00633,4.159,3.762,4.159,3.762,4.159,4.159,4.159,4.443,4.159,3.762,6.543,4.159,3.762,5.992,4.159,3.762,3.762,4.159,3.762,3.762,6.414,3.762,4.159,4.159,3.762,6.138,4.159,3.762,6.225,3.762,4.159,4.159,3.762,4.159,4.159,4.159,6.71,4.159,6.343
ref_00634,3.46,4.137,3.46,3.855,3.855,3.855,2.798,3.46,4.137,3.46,5.783,3.855,4.137,5.829,3.46,3.855,3.46,3.855,3.855,4.137,6.796,3.46,3.855,3.855,4.137,6.607,2.798,3.855,6.4,4.137,3.855,4.137,3.46,3.855,3.855,3.46,6.863,3.855,6.926
ref_00635,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,6.411,3.47,3.866,5.694,2.808,3.866,3.866,3.866,3.47,3.866,6.639,3.47,3.47,3.866,3.47,6.358,3.47,3.47,6.858,3.47,3.47,3.866,3.47,3.47,3.47,3.47,6.597,3.866,6.461
ref_00636,3.511,3.511,4.189,3.511,2.847,3.906,3.511,3.906,3.511,4.189,6.085,3.511,3.511,5.881,3.906,3.906,3.511,3.906,3.511,3.511,6.7,3.511,3.906,3.906,3.906,6.7,3.511,4.189,6.502,3.906,2.847,4.189,3.906,3.906,3.511,3.906,6.085,3.906,6.285
ref_00637,3.603,3.603,4.283,4.283,4.0,4.283,4.283,4.0,3.603,4.283,5.93,3.603,4.0,6.41,3.603,4.0,3.603,4.0,4.0,4.0,6.439,4.0,4.0,4.0,3.603,6.217,4.283,3.603,6.712,4.283,3.603,3.603,4.0,3.603,3.603,4.0,6.35,4.0,6.35
ref_00638,3.814,3.814,4.212,3.814,3.814,3.814,3.143,4.212,4.212,3.814,5.992,4.212,3.814,6.359,4.212,3.143,3.814,3.814,3.814,3.143,6.146,3.814,4.212,4.212,3.814,5.935,3.814,3.814,6.814,3.814,4.212,3.814,4.212,3.814,4.212,3.814,6.764,3.143,6.146
ref_00639,3.991,3.595,3.595,3.991,3.991,3.595,3.595,3.595,3.595,3.991,6.243,3.595,3.595,6.681,3.991,3.595,3.991,3.595,3.991,3.595,6.513,3.595,3.595,3.991,3.991,6.054,3.991,4.274,6.588,4.274,3.991,2.928,3.595,3.991,3.595,3.595,6.659,3.991,6.9
ref_00640,3.97,4.253,4.253,3.97,3.574,3.574,3.97,3.97,3.97,4.253,6.074,3.97,3.574,6.222,3.97,3.574,3.574,3.574,3.574,3.97,6.351,4.253,3.574,3.574,3.574,6.465,3.97,3.574,6.997,3.97,4.253,3.97,3.574,3.574,3.97,4.253,6.222,3.574,6.785
ref_00641,3.866,4.368,3.47,3.866,4.148,3.866,4.148,3.866,4.148,4.148,6.331,4.368,4.148,6.274,3.866,3.47,3.866,3.866,3.47,3.47,6.597,4.148,4.148,3.866,3.866,6.461,4.148,4.148,6.841,4.148,3.866,3.866,3.47,3.47,3.866,3.866,6.597,3.47,6.717
ref_00642,4.19,3.512,3.908,4.19,3.908,3.908,3.908,3.512,4.19,4.19,6.661,3.908,4.41,6.287,3.908,4.19,3.908,3.908,4.19,4.19,6.833,4.19,3.908,3.512,3.512,6.661,3.512,4.19,6.479,4.19,4.19,3.908,4.19,3.512,3.908,4.19,6.528,3.512,6.454
ref_00643,4.283,4.283,3.603,3.603,3.603,4.0,4.0,3.603,4.0,3.603,6.41,4.0,4.0,6.573,3.603,4.0,4.0,3.603,3.603,4.0,6.217,3.603,2.937,4.283,4.283,6.318,3.603,4.0,6.547,4.0,4.0,3.603,4.283,3.603,4.0,3.603,6.909,4.0,6.734
ref_00644,4.21,3.531,3.927,3.531,3.927,3.927,3.927,3.927,3.927,2.867,6.178,3.531,4.21,6.069,3.927,3.927,3.531,3.927,3.531,3.927,6.594,3.927,3.927,4.21,3.531,6.474,3.927,4.21,6.365,4.21,4.43,3.531,4.21,3.927,3.927,3.531,6.968,4.21,6.741
ref_00645,3.543,3.938,3.938,3.938,3.938,3.938,3.938,3.543,3.543,3.543,6.256,4.221,3.543,6.792,3.543,4.221,3.543,4.221,4.221,3.543,6.847,3.938,3.543,4.221,3.543,6.713,3.543,3.543,6.348,3.938,4.221,4.221,4.221,3.543,3.938,3.543,6.433,4.221,6.559
ref_00646,3.859,3.859,3.859,4.257,3.859,3.859,3.859,4.257,3.859,3.859,6.404,3.186,3.859,6.513,3.859,3.186,3.859,3.859,3.186,3.186,5.786,4.257,3.859,3.859,3.186,5.92,3.186,3.859,6.701,3.186,3.859,3.186,3.186,3.859,3.859,4.257,6.547,3.859,6.478
ref_00647,3.512,3.512,3.512,3.908,3.908,3.908,3.512,3.512,4.19,3.908,6.346,3.512,3.512,6.317,3.908,4.19,3.512,3.908,3.512,3.512,6.597,3.512,3.908,3.908,3.908,6.661,3.908,4.19,7.024,3.908,3.908,3.908,3.908,3.512,3.908,3.512,6.087,3.908,6.619
ref_00648,3.67,4.067,4.35,4.067,3.67,3.67,4.067,3.67,4.067,4.067,6.641,3.67,3.002,5.898,3.67,3.67,3.67,4.067,3.002,3.67,6.536,3.67,4.067,3.002,3.67,6.249,3.67,3.67,6.211,3.67,4.067,3.002,4.067,3.67,3.67,4.067,6.354,3.002,6.844
ref_00649,3.806,3.806,3.806,3.135,3.806,3.806,3.806,3.135,3.135,3.806,6.27,3.806,3.806,5.801,3.135,3.806,3.806,3.135,3.806,4.204,6.27,3.806,3.135,3.135,3.135,6.459,3.806,3.135,5.926,4.204,3.135,3.806,3.806,3.806,3.806,3.806,6.424,3.806,6.829
ref_00650,3.662,2.994,4.059,3.662,3.662,4.059,3.662,3.662,2.994,3.662,6.658,4.059,3.662,6.277,3.662,3.662,4.059,3.662,3.662,3.662,6.729,4.059,4.059,3.662,3.662,6.241,2.994,4.059,6.582,3.662,4.059,3.662,3.662,2.994,2.994,4.059,6.876,3.662,6.441
ref_00651,4.179,4.179,3.897,3.897,4.179,4.399,3.501,3.501,3.897,3.897,6.585,3.897,4.179,6.363,3.501,3.897,4.179,4.179,3.897,3.897,6.335,3.897,3.897,3.501,4.399,6.213,4.179,4.179,6.65,3.897,3.501,3.897,4.179,3.897,3.897,3.501,6.749,3.897,6.856
ref_00652,3.706,4.103,3.706,3.706,3.706,4.103,4.103,3.706,3.706,3.706,5.763,3.706,3.706,6.653,3.706,3.706,3.706,3.706,3.706,3.037,6.168,3.706,3.706,3.706,4.103,5.881,3.706,3.706,6.653,3.037,4.103,3.706,3.706,4.103,4.103,3.706,6.573,4.103,6.901
ref_00653,3.607,4.003,3.607,4.003,4.003,4.003,4.003,4.286,4.286,4.003,6.498,4.003,3.607,6.289,4.003,3.607,4.003,4.003,4.003,4.286,6.414,3.607,4.003,3.607,3.607,6.551,3.607,3.607,7.046,4.003,4.003,4.003,4.003,3.607,2.94,4.003,6.184,4.286,6.876
ref_00654,4.18,4.18,3.782,4.18,4.18,3.782,3.782,3.782,4.18,4.18,6.287,4.18,3.782,6.4,4.18,3.782,4.18,3.782,3.782,4.18,6.246,3.782,3.782,3.782,4.464,6.4,4.18,3.782,6.828,3.782,4.464,3.782,3.782,4.464,3.112,3.782,6.287,4.18,6.4
ref_00655,3.624,3.624,2.957,4.021,4.021,3.624,4.021,3.624,3.624,4.021,6.273,3.624,4.021,6.543,4.021,3.624,4.021,3.624,2.957,2.957,6.461,4.021,4.021,4.021,4.021,6.372,3.624,2.957,6.238,3.624,4.021,3.624,3.624,4.021,4.021,4.021,6.273,3.624,6.461
ref_00656,2.987,3.655,3.655,3.655,3.655,4.052,4.052,3.655,4.052,3.655,6.434,3.655,3.655,5.647,2.987,3.655,3.655,2.987,3.655,3.655,6.339,3.655,4.052,3.655,2.987,6.521,3.655,3.655,6.434,3.655,3.655,2.987,4.052,3.655,3.655,4.052,6.626,3.655,6.403
ref_00657,3.731,4.129,3.731,3.731,3.731,3.731,3.062,3.062,4.412,3.731,6.061,3.731,4.129,6.152,4.412,3.731,4.129,4.129,3.731,3.731,6.776,3.731,4.129,3.731,4.129,5.85,3.731,4.412,6.235,3.062,3.731,4.412,4.129,4.412,4.129,4.129,6.729,3.731,6.865
ref_00658,3.411,3.805,4.087,3.411,3.411,3.805,3.411,3.805,3.805,3.805,6.087,3.805,3.805,6.47,3.411,3.805,4.087,4.087,3.411,3.805,7.041,4.087,4.087,4.087,4.087,6.535,3.805,3.805,6.763,3.805,3.411,4.307,4.087,3.805,4.087,3.805,6.779,3.805,6.728
ref_00659,4.136,3.458,3.458,4.356,4.136,4.136,3.853,3.853,4.136,3.853,6.291,3.853,4.136,6.705,4.136,4.356,3.458,4.136,4.136,4.136,6.76,3.853,3.853,3.853,4.356,6.909,4.136,3.853,6.997,3.853,3.853,3.458,4.136,3.853,4.136,3.853,6.563,3.853,6.778
ref_00660,3.7,3.7,3.7,3.7,3.031,3.7,3.7,3.031,3.7,3.7,6.385,3.7,3.031,6.242,4.097,3.7,3.7,3.031,3.7,4.097,6.162,3.7,3.7,4.097,3.031,6.539,4.097,3.7,6.242,3.7,3.7,3.7,3.031,3.031,3.7,3.7,6.351,3.031,6.672
ref_00661,3.861,3.861,3.861,3.861,3.861,3.861,3.189,3.189,4.259,4.259,6.24,3.861,3.861,5.789,3.861,3.861,4.259,3.861,3.189,3.861,6.976,3.861,3.861,3.861,3.861,6.144,3.189,3.861,6.093,3.861,4.259,3.189,3.861,3.189,3.189,3.861,6.582,3.861,6.549
ref_00662,3.714,4.111,3.714,3.714,3.714,3.714,3.714,3.045,3.714,3.714,6.089,3.714,3.045,6.431,3.714,3.714,3.714,3.714,3.714,3.714,6.399,3.045,3.714,3.714,3.714,5.565,3.714,3.714,6.293,4.111,3.714,3.714,4.111,4.111,3.714,3.714,6.524,3.714,6.463
ref_00663,4.141,3.074,3.743,4.141,3.743,3.743,3.743,3.743,3.743,3.743,6.119,3.743,3.074,6.36,3.074,3.074,3.743,3.074,3.743,3.743,6.741,3.743,3.743,3.743,3.743,6.247,3.743,4.141,6.429,4.141,3.743,3.743,4.141,3.743,3.743,4.141,6.524,4.141,6.665
ref_00664,3.621,3.621,3.621,3.621,3.621,4.017,4.017,3.621,3.621,4.017,6.303,3.621,3.621,6.663,3.621,4.017,4.017,3.621,4.017,2.954,6.615,3.621,4.017,4.017,3.621,6.615,4.017,4.017,6.639,3.621,3.621,3.621,3.621,4.3,3.621,4.017,6.872,2.954,6.663
ref_00665,4.0,4.283,4.0,3.603,3.603,4.283,4.283,3.603,4.0,4.0,6.495,4.283,4.0,6.104,4.503,3.603,3.603,4.0,4.283,4.0,6.467,4.0,4.0,3.603,4.0,6.252,4.0,4.0,6.285,3.603,3.603,4.283,4.283,4.503,4.283,4.0,6.547,4.283,6.285
ref_00666,3.745,3.745,3.076,4.143,4.143,3.745,3.745,3.745,3.745,3.076,6.075,4.143,3.745,5.864,3.076,4.143,3.745,3.745,3.745,3.745,6.791,3.745,3.076,4.143,3.745,6.556,3.745,3.745,6.585,4.143,3.745,3.745,3.076,3.076,3.745,4.143,6.026,3.745,6.208
ref_00667,3.522,4.2,3.522,3.522,4.2,3.522,3.917,3.522,3.917,3.917,6.059,3.917,3.522,6.356,4.2,4.2,4.2,4.2,4.42,3.917,6.607,3.522,3.522,4.2,4.2,6.059,4.2,4.2,6.464,4.2,3.917,3.917,3.917,3.522,3.522,3.917,6.751,4.42,6.843
ref_00668,4.054,4.054,4.337,3.657,3.657,4.054,4.054,4.054,3.657,3.657,6.272,3.657,3.657,6.723,4.054,3.657,3.657,3.657,3.657,3.657,7.016,4.054,4.054,4.054,3.657,6.158,3.657,4.337,6.522,4.337,4.054,4.054,3.657,4.054,4.337,4.054,6.307,4.054,6.83
ref_00669,3.551,3.551,3.551,4.229,3.947,3.947,4.229,3.947,3.947,4.229,6.544,3.551,3.947,6.089,3.947,3.551,3.947,3.947,3.947,3.551,6.924,4.229,3.551,3.551,3.947,6.68,3.551,3.947,6.591,3.551,3.947,4.229,3.947,3.947,3.551,4.229,6.468,3.947,6.636
ref_00670,4.246,3.567,3.567,3.567,3.963,3.567,3.567,4.246,3.963,4.246,6.344,3.963,4.246,5.939,3.567,3.567,3.567,3.963,2.902,3.567,6.854,3.963,4.467,3.963,3.567,6.585,3.567,3.963,6.511,4.246,4.246,3.567,3.963,3.963,3.963,3.963,6.675,4.246,6.854
ref_00671,3.85,3.85,3.85,3.85,3.85,3.178,3.178,3.85,3.85,3.85,6.028,3.85,3.85,6.082,3.178,3.85,3.85,3.85,3.85,3.178,6.082,3.85,3.178,3.85,3.85,6.133,3.85,4.248,6.692,3.178,3.85,3.85,3.85,3.85,4.248,3.85,6.469,3.85,6.986
ref_00672,3.749,4.147,4.147,3.079,3.749,3.749,3.749,3.079,3.749,3.079,6.212,3.749,3.079,6.5,3.749,3.079,3.749,3.079,3.749,4.147,6.818,4.147,3.749,3.749,4.147,5.675,3.749,3.079,6.126,3.749,4.147,3.749,3.749,3.749,3.749,3.749,6.366,4.147,6.985
ref_00673,3.31,3.985,3.703,3.985,3.703,3.31,3.703,3.31,3.985,3.31,5.718,3.703,3.985,6.724,4.204,3.985,4.204,3.31,3.703,3.703,6.8,3.703,3.985,3.703,3.985,6.343,3.985,4.204,6.95,3.703,3.31,3.703,4.204,3.31,3.31,3.985,6.473,3.703,6.708
ref_00674,3.139,3.81,3.81,4.208,3.81,3.139,3.81,3.81,3.81,3.81,6.092,4.208,3.81,5.806,3.81,3.81,4.208,3.81,3.81,4.208,6.315,3.81,3.81,4.208,4.208,5.87,3.139,4.208,6.315,4.208,3.81,3.139,4.208,3.81,4.208,3.139,6.622,4.208,7.066
ref_00675,4.203,4.203,3.92,3.525,4.203,3.92,3.92,3.92,3.525,3.92,6.062,3.92,3.525,6.88,3.525,4.203,3.525,3.525,4.203,3.92,6.387,3.525,3.92,3.525,4.203,6.467,3.92,4.203,6.863,3.92,4.203,3.525,3.92,3.92,3.92,3.92,6.33,4.203,6.828
ref_00676,3.868,3.195,4.266,3.868,4.266,3.868,3.868,3.868,3.868,4.266,6.413,3.868,3.868,6.046,3.868,3.868,4.266,3.195,3.868,3.195,6.818,3.868,3.868,4.266,3.868,5.989,3.195,3.195,6.651,3.868,3.868,3.868,3.868,3.195,3.868,3.868,6.333,3.195,6.522
ref_00677,3.755,4.153,3.085,3.755,4.153,3.755,4.153,3.085,3.755,3.085,5.986,3.755,3.755,6.408,3.755,4.153,3.755,3.085,3.755,3.755,6.777,3.755,3.755,3.755,3.085,5.875,3.755,4.153,6.176,4.153,3.085,3.085,3.755,3.755,4.153,3.755,6.623,4.153,6.971
ref_00678,4.069,3.672,3.672,4.069,3.672,3.672,3.672,4.069,4.069,4.069,6.42,3.672,3.672,5.951,4.352,4.069,3.672,4.069,4.352,4.069,6.322,3.672,4.069,3.672,4.069,6.565,3.672,4.069,6.905,3.672,4.069,3.672,4.069,4.352,3.672,4.069,6.592,3.672,6.51
ref_00679,4.082,4.082,4.082,4.082,4.082,3.016,4.082,3.685,4.082,3.685,6.752,3.016,4.082,6.434,4.082,3.685,3.016,3.685,4.082,4.082,6.838,3.685,4.082,4.365,4.082,6.013,3.685,3.685,6.774,3.685,4.082,3.685,3.685,4.082,3.016,4.082,6.226,4.082,6.3
ref_00680,3.922,4.205,3.922,3.922,3.526,4.205,3.526,3.922,3.526,4.205,6.589,3.922,3.922,5.984,3.922,3.922,3.526,3.526,3.922,3.526,6.469,3.526,4.205,3.526,3.526,6.173,3.922,4.205,7.135,3.526,3.526,3.526,3.526,3.526,3.922,3.922,5.897,3.922,6.882
ref_00681,4.22,3.937,3.937,3.937,3.541,3.541,3.937,4.22,3.541,3.937,6.509,3.937,4.22,6.188,4.22,3.541,3.937,3.541,3.937,3.937,6.347,3.541,3.937,3.541,4.22,5.999,3.541,3.937,7.11,3.937,3.541,3.541,3.937,3.541,3.541,3.541,6.254,4.22,6.947
ref_00682,4.17,3.887,3.887,3.492,3.492,4.17,4.17,3.492,3.492,3.492,6.38,3.492,3.492,6.598,3.492,3.492,4.17,3.887,3.492,3.887,7.031,3.492,3.887,3.492,4.17,6.758,3.492,3.887,6.812,3.887,4.17,3.887,3.492,4.17,3.887,4.17,6.598,3.887,6.507
ref_00683,4.309,3.63,4.026,4.026,3.63,4.026,4.309,4.026,4.309,4.309,6.244,4.026,4.309,7.038,3.63,3.63,4.026,4.026,4.309,4.309,6.377,4.026,3.63,4.026,4.026,6.495,4.309,4.026,6.408,4.309,4.309,3.63,4.026,3.63,4.309,4.309,6.6,4.309,6.761
ref_00684,3.557,3.953,3.953,4.236,3.953,4.236,3.953,3.557,4.236,3.953,6.42,3.953,3.953,6.133,3.953,3.953,4.236,4.236,3.953,3.953,6.133,4.236,4.236,3.557,3.953,6.334,3.557,3.557,6.914,3.953,4.456,3.953,3.953,3.953,3.953,3.557,6.5,4.236,6.768
ref_00685,3.615,4.012,4.012,3.615,2.949,4.012,4.295,3.615,3.615,3.615,6.56,3.615,3.615,6.362,3.615,4.012,4.012,4.295,4.012,2.949,6.585,4.012,3.615,4.012,4.012,6.033,4.012,3.615,7.039,3.615,3.615,3.615,3.615,4.012,3.615,4.012,6.116,3.615,6.808
ref_00686,3.579,3.975,3.975,3.579,3.975,3.579,2.914,3.579,3.579,3.579,6.294,3.975,3.579,6.294,3.579,3.579,3.975,3.975,3.579,3.579,6.261,3.975,2.914,3.975,3.975,6.548,3.579,3.579,6.866,3.579,3.579,3.579,3.579,3.579,3.975,3.579,6.192,3.579,6.884
ref_00687,3.517,3.912,4.195,4.195,4.195,3.912,3.517,3.912,3.517,3.517,6.746,3.517,4.195,6.533,3.517,3.517,3.912,3.912,4.195,4.195,6.905,3.517,3.912,4.195,3.517,6.128,3.517,3.517,6.351,4.195,3.517,3.912,4.195,3.912,4.195,3.912,6.579,3.517,6.579
